2025-09-05 16:50:26,923 | DEBUG | MainThread | setup_logging:72 - Logger initialized. Log file: logs\app.log
2025-09-05 16:50:26,925 | INFO | MainThread | <module>:82 - Booting app | region=ap-south-1 | table=public."myApp_meetingtranscript"
2025-09-05 16:50:26,925 | INFO | MainThread | <module>:83 - DB host=meet-assistant-dev.croq4ek60yvo.eu-north-1.rds.amazonaws.com db=meetassistantdev user=postgres
2025-09-05 16:50:27,075 | DEBUG | MainThread | <module>:92 - Bedrock client ready for model_id=meta.llama3-70b-instruct-v1:0
2025-09-05 16:50:27,075 | DEBUG | MainThread | db_conn:112 - Opening DB connection …
2025-09-05 16:50:28,339 | DEBUG | MainThread | db_conn:121 - DB connection established.
2025-09-05 16:50:28,858 | INFO | MainThread | ensure_trigger:147 - Trigger ensured on channel 'meeting_transcript_insert'.
2025-09-05 16:50:28,860 | DEBUG | pg-listener | db_conn:112 - Opening DB connection …
2025-09-05 16:50:28,860 | DEBUG | scanner | db_conn:112 - Opening DB connection …
2025-09-05 16:50:30,064 | DEBUG | pg-listener | db_conn:121 - DB connection established.
2025-09-05 16:50:30,107 | DEBUG | scanner | db_conn:121 - DB connection established.
2025-09-05 16:50:30,233 | INFO | pg-listener | pg_listener:483 - LISTEN on channel: meeting_transcript_insert
2025-09-05 16:50:30,868 | DEBUG | scanner | fetch_missing:196 - fetch_missing(limit=500) -> 1 rows
2025-09-05 16:50:31,041 | INFO | scanner | missing_scanner:506 - Startup backfill: 1 rows with missing fields
2025-09-05 16:50:31,042 | DEBUG | scanner | db_conn:112 - Opening DB connection …
2025-09-05 16:50:32,211 | DEBUG | scanner | db_conn:121 - DB connection established.
2025-09-05 16:50:32,536 | DEBUG | scanner | fetch_row_by_id:167 - fetch_row_by_id(12) -> found
2025-09-05 16:50:32,698 | INFO | scanner | process_row:453 - Row 12 | meetingid=ngp-futp-zwq | need_summary=True need_items=False
2025-09-05 16:50:32,699 | DEBUG | scanner | flatten_transcription:368 - flatten_transcription: produced 99 chars, 1 lines
2025-09-05 16:50:32,699 | DEBUG | scanner | process_row:460 - Row 12 transcript chars=99 preview=Let's see it will work here or not. Will my issue be persistent? My belt is not working or working.
2025-09-05 16:50:32,699 | DEBUG | scanner | summarize_transcript:380 - summarize_transcript: total chars=99
2025-09-05 16:50:32,700 | DEBUG | scanner | summarize_transcript:384 - Single-shot summarization path.
2025-09-05 16:50:33,639 | DEBUG | scanner | bedrock_invoke:322 - Bedrock invoke ok in 939 ms. Body preview={"generation":"{\n  \"summary_md\": \"The speaker is testing to see if their issue will persist and is experiencing problems with their belt.\",\n  \"action_items\": []\n}","prompt_token_count":308,"generation_token_count":34,"stop_reason":"stop"}
2025-09-05 16:50:33,640 | INFO | scanner | summarize_transcript:411 - Rewriting summary to meet sentence bounds (1 found).
2025-09-05 16:50:34,173 | DEBUG | scanner | bedrock_invoke:322 - Bedrock invoke ok in 532 ms. Body preview={"generation":"The speaker is currently in the process of testing to determine if their issue will persist. During this testing, they are experiencing problems with their belt.","prompt_token_count":71,"generation_token_count":30,"stop_reason":"stop"}
2025-09-05 16:50:34,174 | DEBUG | scanner | summarize_transcript:416 - Rewrite preview=The speaker is currently in the process of testing to determine if their issue will persist. During this testing, they are experiencing problems with their belt.
2025-09-05 16:50:34,174 | DEBUG | scanner | summarize_transcript:434 - Final summary len=161, action_items=0
2025-09-05 16:50:34,175 | DEBUG | scanner | db_conn:112 - Opening DB connection …
2025-09-05 16:50:35,249 | DEBUG | pg-listener | pg_listener:487 - listener heartbeat…
2025-09-05 16:50:35,419 | DEBUG | scanner | db_conn:121 - DB connection established.
2025-09-05 16:50:35,941 | INFO | scanner | update_row_partial:220 - Row 12 updated. summary=True action_items=False
2025-09-05 16:50:35,941 | DEBUG | scanner | db_conn:112 - Opening DB connection …
2025-09-05 16:50:37,152 | DEBUG | scanner | db_conn:121 - DB connection established.
2025-09-05 16:50:37,494 | DEBUG | scanner | fetch_missing:196 - fetch_missing(limit=500) -> 0 rows
2025-09-05 16:50:37,680 | DEBUG | scanner | missing_scanner:519 - Scanner: no missing rows.
2025-09-05 16:50:40,263 | DEBUG | pg-listener | pg_listener:487 - listener heartbeat…
2025-09-05 16:50:42,683 | DEBUG | scanner | db_conn:112 - Opening DB connection …
2025-09-05 16:50:43,974 | DEBUG | scanner | db_conn:121 - DB connection established.
2025-09-05 16:50:44,332 | DEBUG | scanner | fetch_missing:196 - fetch_missing(limit=500) -> 0 rows
2025-09-05 16:50:44,510 | DEBUG | scanner | missing_scanner:519 - Scanner: no missing rows.
2025-09-05 16:50:45,272 | DEBUG | pg-listener | pg_listener:487 - listener heartbeat…
2025-09-05 16:50:49,513 | DEBUG | scanner | db_conn:112 - Opening DB connection …
2025-09-05 16:50:50,275 | DEBUG | pg-listener | pg_listener:487 - listener heartbeat…
2025-09-05 16:50:50,710 | DEBUG | scanner | db_conn:121 - DB connection established.
2025-09-05 16:50:51,437 | DEBUG | scanner | fetch_missing:196 - fetch_missing(limit=500) -> 0 rows
2025-09-05 16:50:51,600 | DEBUG | scanner | missing_scanner:519 - Scanner: no missing rows.
2025-09-05 16:50:55,286 | DEBUG | pg-listener | pg_listener:487 - listener heartbeat…
2025-09-05 16:50:56,612 | DEBUG | scanner | db_conn:112 - Opening DB connection …
2025-09-05 16:50:57,848 | DEBUG | scanner | db_conn:121 - DB connection established.
2025-09-05 16:50:58,192 | DEBUG | scanner | fetch_missing:196 - fetch_missing(limit=500) -> 0 rows
2025-09-05 16:50:58,379 | DEBUG | scanner | missing_scanner:519 - Scanner: no missing rows.
2025-09-05 16:51:00,290 | DEBUG | pg-listener | pg_listener:487 - listener heartbeat…
2025-09-05 16:51:03,383 | DEBUG | scanner | db_conn:112 - Opening DB connection …
2025-09-05 16:51:04,692 | DEBUG | scanner | db_conn:121 - DB connection established.
2025-09-05 16:51:05,047 | DEBUG | scanner | fetch_missing:196 - fetch_missing(limit=500) -> 0 rows
2025-09-05 16:51:05,224 | DEBUG | scanner | missing_scanner:519 - Scanner: no missing rows.
2025-09-05 16:51:05,306 | DEBUG | pg-listener | pg_listener:487 - listener heartbeat…
2025-09-05 16:51:10,226 | DEBUG | scanner | db_conn:112 - Opening DB connection …
2025-09-05 16:51:10,319 | DEBUG | pg-listener | pg_listener:487 - listener heartbeat…
2025-09-05 16:51:12,065 | DEBUG | scanner | db_conn:121 - DB connection established.
2025-09-05 16:51:12,397 | DEBUG | scanner | fetch_missing:196 - fetch_missing(limit=500) -> 0 rows
2025-09-05 16:51:12,971 | DEBUG | scanner | missing_scanner:519 - Scanner: no missing rows.
2025-09-05 16:51:15,330 | DEBUG | pg-listener | pg_listener:487 - listener heartbeat…
2025-09-05 16:51:17,980 | DEBUG | scanner | db_conn:112 - Opening DB connection …
2025-09-05 16:51:19,597 | DEBUG | scanner | db_conn:121 - DB connection established.
2025-09-05 16:51:19,929 | DEBUG | scanner | fetch_missing:196 - fetch_missing(limit=500) -> 0 rows
2025-09-05 16:51:20,093 | DEBUG | scanner | missing_scanner:519 - Scanner: no missing rows.
2025-09-05 16:51:20,342 | DEBUG | pg-listener | pg_listener:487 - listener heartbeat…
2025-09-05 16:51:25,100 | DEBUG | scanner | db_conn:112 - Opening DB connection …
2025-09-05 16:51:25,349 | DEBUG | pg-listener | pg_listener:487 - listener heartbeat…
2025-09-05 16:51:26,764 | DEBUG | scanner | db_conn:121 - DB connection established.
2025-09-05 16:51:27,113 | DEBUG | scanner | fetch_missing:196 - fetch_missing(limit=500) -> 0 rows
2025-09-05 16:51:27,288 | DEBUG | scanner | missing_scanner:519 - Scanner: no missing rows.
2025-09-05 16:51:30,357 | DEBUG | pg-listener | pg_listener:487 - listener heartbeat…
2025-09-05 16:51:32,300 | DEBUG | scanner | db_conn:112 - Opening DB connection …
2025-09-05 16:51:34,084 | DEBUG | scanner | db_conn:121 - DB connection established.
2025-09-05 16:51:34,429 | DEBUG | scanner | fetch_missing:196 - fetch_missing(limit=500) -> 0 rows
2025-09-05 16:51:34,600 | DEBUG | scanner | missing_scanner:519 - Scanner: no missing rows.
2025-09-05 16:51:35,359 | DEBUG | pg-listener | pg_listener:487 - listener heartbeat…
2025-09-05 16:51:39,615 | DEBUG | scanner | db_conn:112 - Opening DB connection …
2025-09-05 16:51:40,364 | DEBUG | pg-listener | pg_listener:487 - listener heartbeat…
2025-09-05 16:51:40,857 | DEBUG | scanner | db_conn:121 - DB connection established.
2025-09-05 16:51:41,198 | DEBUG | scanner | fetch_missing:196 - fetch_missing(limit=500) -> 0 rows
2025-09-05 16:51:41,368 | DEBUG | scanner | missing_scanner:519 - Scanner: no missing rows.
2025-09-05 16:51:45,376 | DEBUG | pg-listener | pg_listener:487 - listener heartbeat…
2025-09-05 16:51:46,370 | DEBUG | scanner | db_conn:112 - Opening DB connection …
2025-09-05 16:51:47,599 | DEBUG | scanner | db_conn:121 - DB connection established.
